source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,23.33,6.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,28.22,45.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,17.73,32.3,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Bihar,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,a,,,,percent,SYNTHETIC,34.71,10.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,23.29,38.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Bihar,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,30.43,30.54,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Bihar,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,33.72,14.06,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Bihar,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,38.8,15.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Bihar,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,50.04,33.59,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Bihar,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,17.71,19.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,6.84,31.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,18.75,31.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,34.38,57.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,9.44,29.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Bihar,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,a,,,,percent,SYNTHETIC,31.92,15.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,8.13,18.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,32.32,54.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,16.7,28.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,24.89,43.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,18.96,38.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/ST/area/MediumvsLarge,AgCensus2015-16,T2-4,Bihar,ST,area,MediumvsLarge,landholding,medium operated area,large operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,22.11,24.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Bihar,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,24.39,25.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Bihar,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,49.95,31.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Bihar,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,27.33,11.77,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Bihar,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,33.15,14.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Bihar,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.41,11.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Bihar,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,31.36,33.01,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,7.94,18.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,7.25,30.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,26.15,46.74,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,16.64,30.36,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,11.79,32.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Small/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,12.39,27.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,30.33,48.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Bihar/Small/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,19.29,37.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,19.37,39.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,23.51,34.88,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,13.66,30.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,25.36,40.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,11.67,13.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,29.7,33.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,area,SmallvsMedium,landholding,small operated area,medium operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,14.63,15.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,31.85,35.41,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,33.66,19.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,53.64,32.1,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,34.89,23.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,32.17,8.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,30.8,10.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,20.19,5.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,41.13,21.59,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,5.08,26.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Large/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,a,,,,percent,SYNTHETIC,24.57,11.36,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,15.24,35.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Large/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Large,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,30.06,51.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Large/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,a,,,,percent,SYNTHETIC,39.16,28.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,23.1,47.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,9.34,19.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,24.08,43.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,18.78,31.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,23.43,47.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,10.9,28.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,22.7,33.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,54.48,30.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,24.09,43.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,percent,SYNTHETIC,15.1,26.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,49.95,25.77,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,25.4,9.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,28.82,17.64,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,39.66,28.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,30.8,12.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,29.8,6.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,46.93,24.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/area/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,ST,area,MarginalvsLarge,landholding,marginal operated area,large operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,14.29,16.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,22.77,7.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,47.04,25.1,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,46.8,26.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,43.88,25.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,38.17,24.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,42.23,23.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,26.33,6.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,34.46,53.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,17.74,40.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
