source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,41.11,22.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Bihar/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,48.2,72.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Bihar/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,35.53,50.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Bihar/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.05,53.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Bihar/Small/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.86,46.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Bihar/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,53.77,74.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Bihar/Small/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,39.06,60.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,39.17,62.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,44.68,56.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,31.54,51.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,47.14,64.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,28.9,30.28,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Chhattisgarh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,52.93,56.3,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Chhattisgarh/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,area,SmallvsMedium,landholding,small operated area,medium operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,32.84,33.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Chhattisgarh/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,55.8,59.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,54.88,39.93,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,81.52,56.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,56.53,44.85,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,52.89,24.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,51.07,26.88,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.92,20.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,64.85,42.12,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,20.11,44.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Large/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,a,,,,percent,SYNTHETIC,42.76,28.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,33.65,56.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Large/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Large,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,53.41,79.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Large/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,a,,,,percent,SYNTHETIC,62.22,50.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,44.13,73.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,25.78,35.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,45.44,67.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,38.38,51.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,44.57,73.57,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,27.86,48.04,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,43.6,54.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,percent,SYNTHETIC,82.64,53.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,45.45,67.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,percent,SYNTHETIC,33.47,45.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,76.6,47.69,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,43.87,26.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,48.42,36.85,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,62.88,50.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,51.06,30.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,49.73,21.59,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,72.57,45.59,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/area/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,ST,area,MarginalvsLarge,landholding,marginal operated area,large operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,32.38,35.09,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,40.36,23.3,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,72.72,46.8,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,72.4,49.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,68.51,46.81,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,60.89,46.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,66.3,45.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Chhattisgarh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,45.1,21.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,59.27,81.93,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,36.99,63.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,8,8,0,0,equal,c,,,,percent,SYNTHETIC,57.52,61.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,52.03,78.06,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,46.32,61.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,8,8,0,0,equal,c,,,,percent,SYNTHETIC,39.74,42.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Chhattisgarh/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,46.0,58.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Small/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,59.19,72.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,54.43,66.69,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Small/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,39.96,67.81,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Chhattisgarh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,27.41,44.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,42.94,64.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/SCvsST,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,54.88,84.17,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,61.52,49.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,36.62,38.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,37.55,41.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,56.44,56.73,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 D & N Haveli/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,33.6,35.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 D & N Haveli/All/area/SmallvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,26.01,29.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 D & N Haveli/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,D & N Haveli,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,55.97,58.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Delhi/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,55.84,75.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Delhi/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,54.3,78.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Delhi/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.88,46.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Delhi/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,39.9,61.06,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Delhi/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Delhi,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,40.33,40.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Delhi/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Delhi,All,area,SmallvsMedium,landholding,small operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,25.14,28.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
